ID_PRODUTO,DATA_EVENTO,PRECO,FLAG_PROMOCAO,FERIADO,QUANTIDADE_ESTOQUE,QUANTIDADE_VENDIDA
101,2023-01-01,1127.59,0,1,126,7
101,2023-01-02,1247.27,0,0,124,2
101,2023-01-03,1186.59,0,0,116,8
101,2023-01-04,1115.45,0,0,106,10
101,2023-01-05,1136.34,0,0,100,6
101,2023-01-06,1197.6,0,0,92,8
101,2023-01-07,1192.73,0,0,83,9
101,2023-01-08,1147.95,0,0,75,8
101,2023-01-09,1177.91,0,0,70,5
101,2023-01-10,1099.27,0,0,61,9
101,2023-01-11,1136.97,0,0,59,2
101,2023-01-12,1224.61,0,0,51,8
101,2023-01-13,1114.7,0,0,50,1
101,2023-01-14,1306.99,0,0,46,4
101,2023-01-15,1205.84,0,0,37,9
101,2023-01-16,1257.53,0,0,30,7
101,2023-01-17,1221.76,0,0,23,7
101,2023-01-18,1303.52,0,0,20,3
101,2023-01-19,1238.33,0,0,86,7
101,2023-01-20,1260.66,0,0,77,9
101,2023-01-21,1239.38,0,0,70,7
101,2023-01-22,1107.09,1,0,60,10
101,2023-01-23,1088.43,0,0,56,4
101,2023-01-24,1084.62,0,0,52,4
101,2023-01-25,923.84,1,0,40,12
101,2023-01-26,1293.99,0,0,32,8
101,2023-01-27,1270.9,0,0,30,2
101,2023-01-28,1270.75,0,0,26,4
101,2023-01-29,1134.0,0,0,94,8
101,2023-01-30,1145.72,0,0,92,2
101,2023-01-31,1112.33,0,0,86,6
101,2023-02-01,1099.12,0,0,85,1
101,2023-02-02,1176.08,0,0,81,4
101,2023-02-03,1253.0,0,0,71,10
101,2023-02-04,1196.6,0,0,67,4
101,2023-02-05,1244.14,0,0,57,10
101,2023-02-06,1185.25,0,0,48,9
101,2023-02-07,1112.28,0,0,39,9
101,2023-02-08,1292.22,0,0,32,7
101,2023-02-09,1280.14,0,0,29,3
101,2023-02-10,1294.25,0,0,28,1
101,2023-02-11,1242.14,0,0,109,10
101,2023-02-12,1121.92,0,0,100,9
101,2023-02-13,1204.16,0,0,92,8
101,2023-02-14,1295.96,0,0,87,5
101,2023-02-15,1138.4,0,0,85,2
101,2023-02-16,1264.15,0,0,78,7
101,2023-02-17,1082.54,0,0,69,9
101,2023-02-18,934.36,1,0,44,25
101,2023-02-19,959.84,1,0,42,2
101,2023-02-20,1107.28,0,0,32,10
101,2023-02-21,1106.63,0,0,30,2
101,2023-02-22,1168.64,0,0,20,10
101,2023-02-23,1317.22,0,0,80,7
101,2023-02-24,1254.78,0,0,74,6
101,2023-02-25,1253.84,0,0,73,1
101,2023-02-26,1176.1,0,0,71,2
101,2023-02-27,1124.56,0,0,66,5
101,2023-02-28,1168.07,0,0,65,1
101,2023-03-01,1145.64,0,0,59,6
101,2023-03-02,991.2,1,0,47,12
101,2023-03-03,1270.83,0,0,43,4
101,2023-03-04,1172.91,0,0,42,1
101,2023-03-05,1218.95,0,0,33,9
101,2023-03-06,1152.42,0,0,31,2
101,2023-03-07,1125.27,0,0,25,6
101,2023-03-08,1301.38,0,0,76,6
101,2023-03-09,1120.67,0,0,73,3
101,2023-03-10,1217.62,0,0,68,5
101,2023-03-11,1257.04,0,0,67,1
101,2023-03-12,1125.33,0,0,65,2
101,2023-03-13,1280.09,0,0,63,2
101,2023-03-14,1298.14,0,0,61,2
101,2023-03-15,1223.63,0,0,59,2
101,2023-03-16,1211.91,0,0,52,7
101,2023-03-17,986.62,1,0,40,12
